submission_date,state,tot_cases,new_case,tot_death,new_death
2020-01-22,AS,0,0,0,0
2020-01-22,NYC,0,0,0,0
2020-01-22,AL,0,0,0,0
2020-01-22,GU,0,0,0,0
2020-01-22,DC,0,0,0,0
2020-01-22,NV,0,0,0,0
2020-01-22,TX,0,0,0,0
2020-01-22,KS,0,0,0,0
2020-01-22,FL,0,0,0,0
2020-01-22,KY,0,0,0,0
2020-01-22,NM,0,0,0,0
2020-01-22,MD,0,0,0,0
2020-01-22,FSM,0,0,0,0
2020-01-22,RMI,0,0,0,0
2020-01-22,CA,0,0,0,0
2020-01-22,PW,0,0,0,0
2020-01-22,CO,0,0,0,0
2020-01-22,UT,0,0,0,0
2020-01-22,OK,0,0,0,0
2020-01-22,IN,0,0,0,0
2020-01-22,MS,0,0,0,0
2020-01-22,NE,0,0,0,0
2020-01-22,ND,0,0,0,0
2020-01-22,MO,0,0,0,0
2020-01-22,MI,0,0,0,0
2020-01-22,HI,0,0,0,0
2020-01-22,IA,0,0,0,0
2020-01-22,MT,0,0,0,0
2020-01-22,MN,0,0,0,0
2020-01-22,PA,0,0,0,0
2020-01-22,AR,0,0,0,0
2020-01-22,VI,0,0,0,0
2020-01-22,ME,0,0,0,0
2020-01-22,VA,0,0,0,0
2020-01-22,NH,0,0,0,0
2020-01-22,WV,0,0,0,0
2020-01-22,OR,0,0,0,0
2020-01-22,TN,0,0,0,0
2020-01-22,CT,0,0,0,0
2020-01-22,SC,0,0,0,0
2020-01-22,WI,0,0,0,0
2020-01-22,RI,0,0,0,0
2020-01-22,GA,0,0,0,0
2020-01-22,ID,0,0,0,0
2020-01-22,WY,0,0,0,0
2020-01-22,NY,0,0,0,0
2020-01-22,WA,0,0,0,0
2020-01-22,AZ,0,0,0,0
2020-01-22,OH,0,0,0,0
2020-01-22,LA,0,0,0,0
2020-01-22,DE,4,4,0,0
2020-01-22,MP,0,0,0,0
2020-01-22,MA,0,0,0,0
2020-01-22,NC,0,0,0,0
2020-01-22,NJ,0,0,0,0
2020-01-22,AK,0,0,0,0
2020-01-22,PR,0,0,0,0
2020-01-22,VT,0,0,0,0
2020-01-22,SD,0,0,0,0
2020-01-22,IL,0,0,0,0
2020-01-23,KS,0,0,0,0
2020-01-23,OH,0,0,0,0
2020-01-23,SD,0,0,0,0
2020-01-23,GU,0,0,0,0
2020-01-23,NH,0,0,0,0
2020-01-23,PR,0,0,0,0
2020-01-23,LA,0,0,0,0
2020-01-23,OR,0,0,0,0
2020-01-23,PW,0,0,0,0
2020-01-23,NV,0,0,0,0
2020-01-23,MD,0,0,0,0
2020-01-23,NJ,0,0,0,0
2020-01-23,SC,0,0,0,0
2020-01-23,RI,0,0,0,0
2020-01-23,IN,0,0,0,0
2020-01-23,AK,0,0,0,0
2020-01-23,GA,0,0,0,0
2020-01-23,DC,0,0,0,0
2020-01-23,MO,0,0,0,0
2020-01-23,IA,0,0,0,0
2020-01-23,WI,0,0,0,0
2020-01-23,AZ,0,0,0,0
2020-01-23,WV,0,0,0,0
2020-01-23,TN,0,0,0,0
2020-01-23,CO,0,0,0,0
2020-01-23,FL,0,0,0,0
2020-01-23,NC,0,0,0,0
2020-01-23,WA,1,1,0,0
2020-01-23,NM,0,0,0,0
2020-01-23,IL,0,0,0,0
2020-01-23,ND,0,0,0,0
2020-01-23,VA,0,0,0,0
2020-01-23,NE,0,0,0,0
2020-01-23,RMI,0,0,0,0
2020-01-23,VI,0,0,0,0
2020-01-23,ME,0,0,0,0
2020-01-23,FSM,0,0,0,0
2020-01-23,TX,0,0,0,0
2020-01-23,MP,0,0,0,0
2020-01-23,CT,0,0,0,0
2020-01-23,AL,0,0,0,0
2020-01-23,OK,0,0,0,0
2020-01-23,DE,5,1,0,0
2020-01-23,NY,0,0,0,0
2020-01-23,AR,0,0,0,0
2020-01-23,MI,0,0,0,0
2020-01-23,WY,0,0,0,0
2020-01-23,MA,0,0,0,0
2020-01-23,MT,0,0,0,0
2020-01-23,CA,0,0,0,0
2020-01-23,UT,0,0,0,0
2020-01-23,ID,0,0,0,0
2020-01-23,KY,0,0,0,0
2020-01-23,AS,0,0,0,0
2020-01-23,PA,0,0,0,0
2020-01-23,MN,0,0,0,0
2020-01-23,VT,0,0,0,0
2020-01-23,MS,0,0,0,0
2020-01-23,NYC,0,0,0,0
2020-01-23,HI,0,0,0,0
2020-01-24,ND,0,0,0,0
2020-01-24,RI,0,0,0,0
2020-01-24,HI,0,0,0,0
2020-01-24,MS,0,0,0,0
2020-01-24,WV,0,0,0,0
2020-01-24,ME,0,0,0,0
2020-01-24,OR,0,0,0,0
2020-01-24,TN,0,0,0,0
2020-01-24,CO,0,0,0,0
2020-01-24,PA,0,0,0,0
2020-01-24,IL,1,1,0,0
2020-01-24,NC,0,0,0,0
2020-01-24,WA,1,0,0,0
2020-01-24,WI,0,0,0,0
2020-01-24,SD,0,0,0,0
2020-01-24,AZ,0,0,0,0
2020-01-24,PR,0,0,0,0
2020-01-24,MI,0,0,0,0
2020-01-24,CT,0,0,0,0
2020-01-24,NH,0,0,0,0
